match_id,competition,match_date,match_week,home_team,away_team,home_score,away_score,team,player,nationality,position,minutes,passes,pass_completions,pass_acc,progressive_passes,final_third_passes,pen_area_passes,crosses,through_balls,switch_passes,key_passes,avg_pass_length,fwd_passes_0_5m,fwd_passes_5_10m,fwd_passes_10_15m,fwd_passes_15m,shots,shots_on_target,shot_acc,goals,xg,xg_per_shot,headed_shots,first_time_shots,duels,tackles,aerials,duels_won,duel_win_pct,tackle_win_pct,pressures,interceptions,clearances,blocks,ball_recoveries,dribbled_past,fouls_committed,fouls_won,yellow_cards,carries,carry_distance,progressive_carries,final_third_carries,dribbles,dribbles_success,dribble_pct,dispossessed,miscontrols,total_actions,under_pressure,fifty_fifty,obv,shots_faced,saves,save_pct,gk_goals_conceded,sweeper_actions,gk_punches,jersey_number,nickname,passes_p90,pass_completions_p90,progressive_passes_p90,final_third_passes_p90,pen_area_passes_p90,crosses_p90,through_balls_p90,switch_passes_p90,key_passes_p90,fwd_passes_0_5m_p90,fwd_passes_5_10m_p90,fwd_passes_10_15m_p90,fwd_passes_15m_p90,shots_p90,shots_on_target_p90,goals_p90,xg_p90,headed_shots_p90,first_time_shots_p90,duels_p90,tackles_p90,aerials_p90,duels_won_p90,pressures_p90,interceptions_p90,clearances_p90,blocks_p90,ball_recoveries_p90,dribbled_past_p90,fouls_committed_p90,fouls_won_p90,yellow_cards_p90,carries_p90,carry_distance_p90,progressive_carries_p90,final_third_carries_p90,dribbles_p90,dribbles_success_p90,dispossessed_p90,miscontrols_p90,total_actions_p90,under_pressure_p90,fifty_fifty_p90,obv_p90,shots_faced_p90,saves_p90,gk_goals_conceded_p90,sweeper_actions_p90,gk_punches_p90,jersey_number_p90
3911779,Frauen Bundesliga,2023-11-04,6,Hoffenheim W,SC Freiburg,2,3,Hoffenheim W,Sarai Linder,Germany,Left Back,45,24,15,62.5,17,5,0,0,0,0,0,20.5,0,1,3,13,0,0,0.0,0,0.0,0.0,0,0,3,0,3,0,0.0,0.0,2,1,0,0,2,0,0,1,0,14,76.3,9,3,3,0,0.0,0,0,49,17,0,0.0,0,0,0.0,0,0,0,22,,48.0,30.0,34.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,4.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,28.0,152.6,18.0,6.0,6.0,0.0,0.0,0.0,98.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0
3911779,Frauen Bundesliga,2023-11-04,6,Hoffenheim W,SC Freiburg,2,3,Hoffenheim W,Vanessa Diehm,Germany,Center Defensive Midfield,45,28,22,78.6,17,7,0,0,0,0,0,14.8,0,5,6,6,0,0,0.0,0,0.0,0.0,0,0,6,5,1,4,66.7,80.0,16,0,0,3,6,0,0,0,0,19,130.0,11,2,2,1,50.0,0,1,80,29,2,0.0,0,0,0.0,0,0,0,32,,56.0,44.0,34.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,2.0,8.0,32.0,0.0,0.0,6.0,12.0,0.0,0.0,0.0,0.0,38.0,260.0,22.0,4.0,4.0,2.0,0.0,2.0,160.0,58.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0
3911779,Frauen Bundesliga,2023-11-04,6,Hoffenheim W,SC Freiburg,2,3,Hoffenheim W,Mara Alber,Germany,Right Wing Back,90,17,6,35.3,11,10,7,1,0,1,0,17.5,1,1,4,5,2,0,0.0,0,0.074,0.037,0,0,2,1,1,1,50.0,100.0,22,1,0,6,6,0,0,2,0,23,149.4,14,15,6,1,16.7,2,3,85,48,0,0.0,0,0,0.0,0,0,0,11,,17.0,6.0,11.0,10.0,7.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,5.0,2.0,0.0,0.0,0.07,0.0,0.0,2.0,1.0,1.0,1.0,22.0,1.0,0.0,6.0,6.0,0.0,0.0,2.0,0.0,23.0,149.4,14.0,15.0,6.0,1.0,2.0,3.0,85.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
3911779,Frauen Bundesliga,2023-11-04,6,Hoffenheim W,SC Freiburg,2,3,Hoffenheim W,Chiara Anna D'Angelo,Austria,Left Center Back,45,29,22,75.9,18,8,1,1,0,1,0,20.1,0,3,4,11,0,0,0.0,0,0.0,0.0,0,0,2,2,0,1,50.0,50.0,2,0,1,0,4,0,0,1,0,16,76.3,6,1,0,0,0.0,0,0,54,11,0,0.0,0,0,0.0,0,0,0,24,,58.0,44.0,36.0,16.0,2.0,2.0,0.0,2.0,0.0,0.0,6.0,8.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,4.0,0.0,2.0,0.0,8.0,0.0,0.0,2.0,0.0,32.0,152.6,12.0,2.0,0.0,0.0,0.0,0.0,108.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
3911779,Frauen Bundesliga,2023-11-04,6,Hoffenheim W,SC Freiburg,2,3,Hoffenheim W,Jill Janssens,Belgium,Left Center Forward,23,2,2,100.0,1,1,0,0,0,0,0,23.0,0,0,0,1,1,1,100.0,0,0.122,0.122,0,1,1,1,0,1,100.0,100.0,4,0,0,1,2,0,0,1,0,5,42.6,5,4,1,0,0.0,2,1,17,13,0,0.0,0,0,0.0,0,0,0,9,,7.83,7.83,3.91,3.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.91,3.91,3.91,0.0,0.48,0.0,3.91,3.91,3.91,0.0,3.91,15.65,0.0,0.0,3.91,7.83,0.0,0.0,3.91,0.0,19.57,166.7,19.57,15.65,3.91,0.0,7.83,3.91,66.52,50.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.22
3911779,Frauen Bundesliga,2023-11-04,6,Hoffenheim W,SC Freiburg,2,3,SC Freiburg,Hasret Kayikci,Germany,Right Center Midfield,90,23,18,78.3,17,12,3,0,0,0,1,17.5,2,3,3,9,1,1,100.0,1,0.254,0.254,0,0,5,5,0,2,40.0,40.0,22,0,3,0,2,1,2,2,0,22,107.1,13,8,2,1,50.0,2,0,80,46,2,0.0,0,0,0.0,0,0,0,11,Hasret Kayikci,23.0,18.0,17.0,12.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,9.0,1.0,1.0,1.0,0.25,0.0,0.0,5.0,5.0,0.0,2.0,22.0,0.0,3.0,0.0,2.0,1.0,2.0,2.0,0.0,22.0,107.1,13.0,8.0,2.0,1.0,2.0,0.0,80.0,46.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
3911779,Frauen Bundesliga,2023-11-04,6,Hoffenheim W,SC Freiburg,2,3,SC Freiburg,Giovanna Hoffmann,Germany,Left Wing,57,25,19,76.0,12,12,5,2,0,0,1,15.1,0,2,4,6,0,0,0.0,0,0.0,0.0,0,0,2,2,0,2,100.0,100.0,13,2,2,1,2,0,0,0,0,27,181.0,19,14,3,1,33.3,2,2,77,30,0,0.0,0,0,0.0,0,0,0,27,Giovanna Hoffmann,39.47,30.0,18.95,18.95,7.89,3.16,0.0,0.0,1.58,0.0,3.16,6.32,9.47,0.0,0.0,0.0,0.0,0.0,0.0,3.16,3.16,0.0,3.16,20.53,3.16,3.16,1.58,3.16,0.0,0.0,0.0,0.0,42.63,285.79,30.0,22.11,4.74,1.58,3.16,3.16,121.58,47.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.63
3911779,Frauen Bundesliga,2023-11-04,6,Hoffenheim W,SC Freiburg,2,3,SC Freiburg,Janina Minge,Germany,Center Defensive Midfield,90,45,36,80.0,33,16,3,0,0,0,0,19.8,0,6,11,16,4,1,25.0,0,0.348,0.087,2,2,8,4,4,3,37.5,75.0,27,1,5,4,4,0,2,0,1,26,112.1,16,4,0,0,0.0,0,1,124,43,1,0.0,0,0,0.0,0,0,0,9,Janina Minge,45.0,36.0,33.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,16.0,4.0,1.0,0.0,0.35,2.0,2.0,8.0,4.0,4.0,3.0,27.0,1.0,5.0,4.0,4.0,0.0,2.0,0.0,1.0,26.0,112.1,16.0,4.0,0.0,0.0,0.0,1.0,124.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
3911779,Frauen Bundesliga,2023-11-04,6,Hoffenheim W,SC Freiburg,2,3,SC Freiburg,Lisa Karl,Germany,Right Back,64,53,39,73.6,37,15,2,0,0,0,0,20.5,1,4,9,23,1,0,0.0,0,0.059,0.059,0,0,5,4,1,1,20.0,25.0,18,1,3,0,8,2,2,0,1,28,146.8,16,5,0,0,0.0,1,1,117,28,0,0.0,0,0,0.0,0,0,0,2,Lisa Karl,74.53,54.84,52.03,21.09,2.81,0.0,0.0,0.0,0.0,1.41,5.62,12.66,32.34,1.41,0.0,0.0,0.08,0.0,0.0,7.03,5.62,1.41,1.41,25.31,1.41,4.22,0.0,11.25,2.81,2.81,0.0,1.41,39.38,206.44,22.5,7.03,0.0,0.0,1.41,1.41,164.53,39.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.81
3911779,Frauen Bundesliga,2023-11-04,6,Hoffenheim W,SC Freiburg,2,3,SC Freiburg,Marie Müller,Germany,Right Back,90,56,37,66.1,34,25,10,8,1,0,2,19.9,1,4,6,23,0,0,0.0,0,0.0,0.0,0,0,3,3,0,2,66.7,66.7,21,4,3,6,10,0,1,1,0,48,384.0,27,14,4,2,50.0,3,2,155,48,1,0.0,0,0,0.0,0,0,0,23,Marie Müller,56.0,37.0,34.0,25.0,10.0,8.0,1.0,0.0,2.0,1.0,4.0,6.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,21.0,4.0,3.0,6.0,10.0,0.0,1.0,1.0,0.0,48.0,384.0,27.0,14.0,4.0,2.0,3.0,2.0,155.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
